"StoreID"||"FiscalYearId"||"CalendarID"||"Sales"
"101016"||"2024"||"10"||"271048.16800000000"
"101257"||"2024"||"03"||"328810.79340000000"
"103587"||"2024"||"01"||"255226.10810000000"
"101947"||"2024"||"01"||"410609.59090000000"
"100818"||"2024"||"11"||"205301.03820000000"
"104515"||"2024"||"05"||"301306.29220000000"
"101427"||"2024"||"08"||"331257.99440000000"
"104551"||"2024"||"07"||"394561.26300000000"
"102643"||"2024"||"06"||"151580.34380000000"
"103828"||"2024"||"04"||"297010.54030000000"
"100143"||"2024"||"03"||"317775.42840000000"
"100986"||"2024"||"06"||"160785.52650000000"
"103855"||"2024"||"09"||"281506.59140000000"
"101444"||"2024"||"05"||"344101.83330000000"
"104874"||"2024"||"11"||"155731.65160000000"
"104891"||"2024"||"10"||"255030.73280000000"
"104882"||"2024"||"01"||"198439.52430000000"
"104770"||"2024"||"03"||"202539.90090000000"
"102632"||"2024"||"11"||"368703.25790000000"
"104351"||"2024"||"03"||"221912.11380000000"
"102575"||"2024"||"01"||"266229.74550000000"
"101453"||"2024"||"06"||"290156.54080000000"
"100989"||"2024"||"10"||"248595.87180000000"
"100138"||"2024"||"08"||"222189.31300000000"
"104511"||"2024"||"01"||"346317.75660000000"
"103572"||"2024"||"10"||"265333.85790000000"
"101673"||"2024"||"08"||"348445.17660000000"
"100800"||"2024"||"05"||"251194.19640000000"
"100158"||"2024"||"02"||"232678.62900000000"
"103175"||"2024"||"09"||"188675.76870000000"
"104509"||"2024"||"08"||".00000000000"
"103603"||"2024"||"01"||"247412.76580000000"
"101911"||"2024"||"10"||"469809.97810000000"
"102342"||"2024"||"05"||"212509.88600000000"
"100548"||"2024"||"04"||"253001.83540000000"
"102625"||"2024"||"12"||"449773.99010000000"
"100171"||"2024"||"01"||"357135.20300000000"
"104509"||"2024"||"12"||".00000000000"
"100550"||"2024"||"05"||"383353.06600000000"
"104309"||"2024"||"02"||"221262.53270000000"
"101950"||"2024"||"04"||"264589.92880000000"
"104512"||"2024"||"11"||"205611.63490000000"
"100162"||"2024"||"09"||"174603.73710000000"
"103863"||"2024"||"06"||"197293.15550000000"
"100556"||"2024"||"10"||"156837.10850000000"
"104032"||"2024"||"09"||"234231.61220000000"
"102610"||"2024"||"05"||"309274.09790000000"
"100571"||"2024"||"01"||"186500.75730000000"
"101969"||"2024"||"02"||"379918.96930000000"
"102557"||"2024"||"06"||"452464.15780000000"
"101657"||"2024"||"12"||"311618.60150000000"
"100841"||"2024"||"09"||"242021.57630000000"
"104331"||"2024"||"04"||"255995.92020000000"
"102602"||"2024"||"01"||"202655.95720000000"
"101971"||"2024"||"06"||"309190.60420000000"
"101665"||"2024"||"09"||"200326.48240000000"
"103650"||"2024"||"10"||"251452.19200000000"
"102847"||"2024"||"04"||"414048.69720000000"
"100979"||"2024"||"06"||"308896.70630000000"
"101937"||"2024"||"04"||"391461.97610000000"
"103601"||"2024"||"01"||"305461.77460000000"
"100573"||"2024"||"08"||"344653.72680000000"
"100547"||"2024"||"08"||"325151.26370000000"
"101927"||"2024"||"07"||"270147.27080000000"
"103675"||"2024"||"02"||"249739.73580000000"
"104478"||"2024"||"12"||"199181.78350000000"
"101700"||"2024"||"04"||"340206.85130000000"
